country,2015
Afghanistan,211
Angola,119
Albania,68
United Arab Emirates,54.7
Argentina,26.6
Armenia,54.8
Antigua and Barbuda,29.9
Australia,8.4
Austria,15.3
Azerbaijan,63.9
Burundi,180
Belgium,15.7
Benin,205
Burkina Faso,206
Bangladesh,149
Bulgaria,61.8
Bahrain,40.1
Bahamas,19.9
Bosnia and Herzegovina,79.8
Belarus,60.7
Belize,68.6
Bolivia,63.7
Brazil,29.9
Barbados,31.1
Brunei,13.3
Bhutan,125
Botswana,101
Central African Republic,212
Canada,7
Switzerland,10.1
Chile,25.3
China,113
Cote d'Ivoire,269
Cameroon,208
"Congo, Dem. Rep.",164
"Congo, Rep.",131
Colombia,37
Comoros,172
Cape Verde,99.5
Costa Rica,23.3
Cuba,49.5
Cyprus,20.1
Czech Republic,29.6
Germany,16
Djibouti,159
Denmark,13.2
Dominican Republic,43
Algeria,49.7
Ecuador,24.5
Egypt,109
Eritrea,174
Spain,9.9
Estonia,25
Ethiopia,144
Finland,7.2
Fiji,99
France,9.7
"Micronesia, Fed. Sts.",152
Gabon,76
United Kingdom,13.8
Georgia,102
Ghana,204
Guinea,243
Gambia,237
Guinea-Bissau,215
Equatorial Guinea,178
Greece,27.6
Grenada,45.3
Guatemala,73.8
Guyana,108
Honduras,60.7
Croatia,35.5
Haiti,184
Hungary,38.8
Indonesia,112
India,184
Ireland,11.9
Iran,50.9
Iraq,75.1
Iceland,8.7
Israel,15.4
Italy,15
Jamaica,25.4
Jordan,51.2
Japan,11.9
Kazakhstan,62.7
Kenya,78.1
Kyrgyz Republic,111
Cambodia,150
Kiribati,140
South Korea,20.5
Kuwait,104
Lao,189
Lebanon,51.4
Liberia,170
Libya,71.9
St. Lucia,30
Sri Lanka,79.8
Lesotho,178
Lithuania,34
Luxembourg,11.6
Latvia,41.3
Morocco,49.1
Moldova,78.3
Madagascar,160
Maldives,25.6
Mexico,36.7
North Macedonia,82.2
Mali,209
Malta,20.2
Myanmar,156
Montenegro,78.6
Mongolia,156
Mozambique,110
Mauritania,170
Mauritius,38.3
Malawi,115
Malaysia,47.4
Namibia,145
Niger,252
Nigeria,307
Nicaragua,55.7
Netherlands,13.7
Norway,8.6
Nepal,194
New Zealand,7.2
Oman,53.9
Pakistan,174
Panama,25.8
Peru,63.9
Philippines,185
Papua New Guinea,152
Poland,37.9
North Korea,207
Portugal,9.8
Paraguay,57.5
Qatar,47.4
Romania,59.3
Russia,49.4
Rwanda,121
Saudi Arabia,83.7
Sudan,185
Senegal,161
Singapore,25.9
Solomon Islands,137
Sierra Leone,324
El Salvador,41.9
Somalia,213
Serbia,62.5
South Sudan,165
Sao Tome and Principe,162
Suriname,56.7
Slovak Republic,33.5
Slovenia,22.6
Sweden,7.2
Eswatini,137
Seychelles,49.3
Syria,75.2
Chad,280
Togo,250
Thailand,61.5
Tajikistan,129
Turkmenistan,79.3
Timor-Leste,140
Tonga,73.3
Trinidad and Tobago,38.6
Tunisia,56.1
Turkey,46.6
Tanzania,139
Uganda,156
Ukraine,70.7
Uruguay,17.5
United States,13.3
Uzbekistan,81.1
St. Vincent and the Grenadines,47.6
Venezuela,34.6
Vietnam,64.5
Vanuatu,136
Samoa,85
Yemen,194
South Africa,86.7
Zambia,127
Zimbabwe,133
